пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,24.11.4,11.48.6,2.54.2,9.17.12,17.20.8,28515
M,27.10.4,14.57.6,4.45.2,5.2.12,20.54.8,25971
M,24.37.4,14.2.6,27.47.1,28.24.11,21.15.8,26336
M,25.32.4,12.32.6,5.14.2,9.44.12,13.27.8,21738
M,26.37.4,13.52.6,5.25.2,7.11.12,16.25.8,29421
M,26.30.4,13.41.6,5.28.2,7.33.12,15.50.8,18555
M,27.21.4,15.31.6,4.9.2,4.8.12,24.2.8,27854
M,23.52.4,12.36.6,29.58.1,4.51.12,22.49.8,24494
M,27.4.4,16.45.6,1.58.2,4.24.12,6.55.8,27574
F,26.37.4,13.53.6,5.25.2,7.9.12,16.28.8,27606
M,25.22.4,12.22.6,5.5.2,9.57.12,13.26.8,15415
F,24.17.4,13.36.6,28.17.1,0.28.12,22.42.8,30408
M,26.4.4,13.6.6,5.30.2,8.45.12,14.15.8,26607
M,26.8.4,13.11.6,5.30.2,8.34.12,14.28.8,22200
M,24.35.4,14.0.6,27.49.1,28.36.11,21.25.8,19790
M,26.19.4,13.26.6,5.31.2,8.4.12,15.6.8,26217
M,24.15.4,11.48.6,3.7.2,9.30.12,16.50.8,28555
M,27.22.4,16.23.6,2.52.2,3.32.12,0.48.9,30301
M,27.6.4,16.44.6,2.2.2,4.16.12,6.19.9,19847
M,27.10.4,14.57.6,4.45.2,5.2.12,20.54.8,17504
M,23.54.4,12.1.6,1.35.2,7.40.12,20.15.8,9231
M,26.14.4,13.19.6,5.31.2,8.19.12,14.46.8,20294
F,25.17.4,14.31.6,27.31.1,25.2.11,16.54.8,30131
M,26.59.4,14.32.6,5.5.2,5.49.12,18.59.8,25640
M,25.18.4,12.19.6,5.1.2,10.1.12,13.27.8,21221
M,27.14.4,15.7.6,4.36.2,4.45.12,21.45.8,19198
M,27.22.4,16.25.6,2.49.2,3.32.12,1.5.9,23095
M,24.34.4,13.59.6,27.51.1,28.41.11,21.30.8,28762
M,24.18.4,13.37.6,28.16.1,0.24.12,22.40.8,7270
M,25.39.4,12.38.6,5.19.2,9.34.12,13.32.8,29586
M,26.46.4,16.46.6,1.39.2,5.28.12,10.26.9,30552
M,24.57.4,12.3.6,4.34.2,10.13.12,13.55.8,18854
F,24.42.4,11.55.6,4.10.2,10.10.12,14.34.8,27187
M,26.11.4,13.15.6,5.31.2,8.27.12,14.36.8,17172
M,27.15.4,16.37.6,2.23.2,3.47.12,3.43.9,22745
M,24.1.4,11.52.6,2.15.2,8.34.12,18.49.8,17319
M,24.44.4,14.9.6,27.41.1,27.47.11,20.39.8,15367
M,27.23.4,16.20.6,2.59.2,3.31.12,0.11.9,24740
M,25.28.4,12.27.6,5.11.2,9.50.12,13.26.8,26957
M,25.32.4,12.31.6,5.14.2,9.44.12,13.27.8,30596
M,27.3.4,14.42.6,4.58.2,5.31.12,19.41.8,24161
M,26.9.4,13.13.6,5.31.2,8.31.12,14.31.8,15461
F,23.51.4,12.9.6,1.5.2,6.53.12,21.14.8,28509
M,27.7.4,14.51.6,4.51.2,5.14.12,20.23.8,19747
F,27.25.4,16.1.6,3.30.2,3.36.12,27.26.8,27407
M,25.9.4,14.27.6,27.30.1,25.41.11,17.59.8,29574
F,24.45.4,11.56.6,4.15.2,10.12.12,14.25.8,9402
M,24.44.4,11.55.6,4.13.2,10.11.12,14.30.8,24473
M,23.54.4,12.45.6,29.39.1,4.9.12,23.6.8,28848
